groupID,n_PAS,dominant_featureID,dominant_abundance,dominant_meanUsage_Control,dominant_meanUsage_Experimental,dominant_delta_usage,dominant_padj,wUTR_Control,wUTR_Experimental,delta_wUTR,chisq_stat,chisq_pvalue,single_dominant_site,chisq_padj
AACS,2,chr12_+_125143315,228.211714652509,0.944819888381532,0.944418258703973,-0.00040162967755919,0.532457171964443,940.095788939625,939.696167410453,-0.399621529171441,2.20046385460991,0.137969215075549,TRUE,0.163685136447879
AAGAB,4,chr15_-_67201673,850.160909397997,0.911838716093583,0.920878583313251,0.00903986721966799,0.959875439156179,68.4969348723304,72.6227363477584,4.12580147542808,102.732196766791,4.01742377102259e-22,TRUE,4.38945984559264e-21
AAK1,2,chr2_-_69457998,367.777693505391,0.924077001543869,0.970598591549296,0.0465215900054268,0.999956762877916,1186.51486998233,1246.2485915493,59.7337215669679,23.9433893858423,9.92103641549984e-07,TRUE,2.24380291525481e-06
AARS1,2,chr16_-_70252391,451.628297162083,0.620444115979171,0.634732825402464,0.0142887094232924,0.999956762877916,35.2986972139371,33.9698472375709,-1.32884997636619,4.29904412876898,0.0381338004719389,FALSE,0.0491400261064894
AARS2,4,chr6_-_44299451,23.8464688225253,0.494149254336608,0.264600162472503,-0.229549091864105,0.970111866423801,171.103851495889,223.064031508712,51.9601800128234,22.4883518101482,5.16176514896006e-05,FALSE,9.49434336527745e-05
AASDHPPT,3,chr11_+_106098693,130.825901984556,0.83066160502123,0.625845313659953,-0.204816291361277,0.857874553155451,1458.9889740612,1111.42375485925,-347.565219201944,76.6105329835172,2.31331159571206e-17,FALSE,1.57936323025182e-16
AASS,4,chr7_-_122074878,51.1475919480114,0.541480395622371,0.61629235502986,0.0748119594074895,0.999956762877916,1897.31887176928,1550.72212115482,-346.59675061446,21.5598585144161,8.05375137320136e-05,FALSE,0.000144832167551688
ABAT,2,chr16_+_8784567,17.4395480984359,0.782608695652174,0.828828828828829,0.046220133176655,0.999956762877916,2377.5652173913,2517.98198198198,140.416764590678,0.490460497570345,0.483721958928531,FALSE,0.524088421283252
ABCA1,2,chr9_-_104781116,34.0441014551566,0.581403676295059,0.510031347962382,-0.071372328332676,0.309035364437102,44.7898066364287,52.4266457680251,7.63683913159633,18.4949846466486,1.70351987914469e-05,FALSE,3.32454225470817e-05
ABCA5,2,chr17_-_69247343,54.5435240702509,0.816370992841581,0.843578395213507,0.027207402371926,0.995224836287514,37.0930594460006,31.5971641668716,-5.49589527912905,0.390310542999007,0.532136212345611,FALSE,0.571850620574348
ABCB10,2,chr1_-_229516583,61.0675162031095,0.980676328502415,0.902962962962963,-0.0777133655394525,0.370516374259895,255.95652173913,235.673333333333,-20.2831884057971,6.17725127237849,0.0129403151137089,FALSE,0.0177617709979074
ABCB7,2,chrX_-_75053281,88.6133706480947,0.99537037037037,0.875478927203065,-0.119891443167305,0.0498485469983721,8.00462962962963,215.2969348659,207.292305236271,68.4022569214393,1.3332488480596e-16,FALSE,8.30737183841151e-16
ABCB8,2,chr7_+_151045562,31.1268807748486,0.85,0.65036231884058,-0.19963768115942,0.329290593359882,332.7,775.496376811594,442.796376811594,22.4821979623726,2.12100167996899e-06,FALSE,4.59279009975141e-06
ABCC4,2,chr13_-_95019836,245.498849533505,0.855902137281979,0.875910356615613,0.0200082193336334,0.955915751901914,991.134674972532,1014.30419296088,23.1695179883475,1.4412554208342,0.229936294082548,FALSE,0.263079082684421
ABCC5,2,chr3_-_183919938,142.926026055451,0.992982456140351,0.924094218174663,-0.0688882379656874,0.435439229605833,970.143859649123,902.840051156646,-67.3038084924766,26.6150922692383,2.48296564538638e-07,FALSE,5.99349855903068e-07
