featureID,1,2,3,4,5,6
EXTL2:chr1_-_100872392,8.75720725914545,8.59348506156592,8.71959964785997,9.00138376808375,8.78895598970955,8.80388845645657
EXTL2:chr1_-_100872613,8.05957950985919,8.01203740940784,7.98898062375282,7.96266343060704,7.83443148053888,8.04929261358075
DPH5:chr1_-_100989627,8.16700413337001,7.9867287632944,7.98898062375282,7.89718553778792,8.02297659536282,7.86517571642498
DPH5:chr1_-_100990064,8.65727412192792,8.3630997501541,8.58880414816019,8.24112640575089,8.18104277032905,8.58495115311312
DFFA:chr1_-_10456524,8.30712494978141,8.38518771411075,8.47280284571597,8.47966288165716,8.32184512936258,8.66883873072413
DFFA:chr1_-_10458557,8.6522530570859,8.65173605219775,8.70819701683317,8.83881055976225,8.4547564998621,8.90006621527537
DFFA:chr1_-_10458871,8.0543008194336,8.10774710645499,8.10829033805119,8.02980554746302,8.18762485866433,7.97439673895867
DFFA:chr1_-_10459923,8.43819841561783,8.24644252264499,8.17629877543452,8.25023803042748,8.34338023629561,8.13624521831939
DFFA:chr1_-_10460928,8.15323093421666,8.28460918483901,8.2733811062876,8.33570240519794,8.61334505041785,8.39706045951442
DFFA:chr1_-_10461228,8.37190061008458,8.24644252264499,8.18917515482176,8.29418136167858,7.83443148053888,8.33687740827319
CLCC1:chr1_-_108929939,8.25264184998871,8.35935808151423,8.35923057384528,8.49977352042427,8.57367028461103,8.56724884409307
CLCC1:chr1_-_108931796,8.18939183610711,8.10774710645499,8.01725221155612,8.04802305101211,7.99292975790114,8.01351051270283
CLCC1:chr1_-_108932298,8.18497017766747,8.12850354505342,8.25029966863129,8.31522364261031,8.2681220425123,8.17620065184671
PSMA5:chr1_-_109401851,9.61352618540444,9.18022800491614,9.22500866439168,9.38736033368565,9.50584622095132,9.17436748598551
GSTM3:chr1_-_109736502,8.15785076472145,8.01811788043268,8.11302025248488,7.99119352220697,8.15751762482213,8.09944985785762
GSTM3:chr1_-_109736931,7.99262491920918,7.93534108308737,8.00619128155489,8.01094155236492,7.85228287727975,8.16641398130215
GSTM3:chr1_-_109736976,9.44369904408661,9.24657248468942,9.53081588785918,9.52734410134486,9.53636895898337,9.82047841203409
SRM:chr1_-_11054592,10.9325309596445,10.8529569052876,10.8755733783249,10.6344864646827,10.8831378649799,10.5403508806645
LRIF1:chr1_-_110947191,8.02163276346539,8.14870656706406,8.13165138193051,8.06572375385769,8.23207702248318,8.32108256549105
MTOR:chr1_-_11106536,8.7249974708376,8.59918820887484,8.75524012277089,8.62350951969823,8.70414796313627,8.55826987330397
DRAM2:chr1_-_111117908,8.30712494978141,8.41722678040967,8.59655531559807,8.46599234254662,8.21019506624818,8.36377048853813
